"Filtros";"Produtos Disponíveis, Meus Produtos"
"WebGlobal ID";"PRODUTO";"MARCA";"No DE LOJAS";"MAIS BARATO";"STATUS";"CODIGO LOJISTA";"CODIGO INTERNO";"RANKING";"LOJISTA";"SELLERS";"PRECO";"DIFERENÇA";"PERCENTUAL";"No DE PARCELAS";"VALOR DA PARCELA"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"30º";"Ponto Frio";"Loja Electrolux";"149,00";"35,00";"30,70%";"6";"24,83"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"30º";"Extra";"Loja Electrolux";"149,00";"35,00";"30,70%";"6";"24,83"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"30º";"Preçolandia";"";"149,00";"35,00";"30,70%";"5";"29,80"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"38º";"Magazine Luiza";"Hj Magazine";"149,47";"35,47";"31,11%";"2";"78,67"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"39º";"Extra";"Angeloni";"149,90";"35,90";"31,49%";"6";"24,98"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"39º";"Havan";"";"149,90";"35,90";"31,49%";"10";"14,99"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"39º";"Carrefour";"Mmsantos";"149,90";"35,90";"31,49%";"3";"49,96"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"42º";"Extra";"Efacil";"151,74";"37,74";"33,11%";"6";"25,29"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"43º";"Cassol";"";"151,91";"37,91";"33,25%";"8";"19,99"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"44º";"Extra";"Inpower Oficial";"152,34";"38,34";"33,63%";"6";"25,39"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"44º";"Casas Bahia";"Inpower Oficial";"152,34";"38,34";"33,63%";"6";"25,39"
